               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071786,            0.028508,            0.047511,                   0,                   0,                   0,                   0,                   0,            0.010879,                   0,            0.070187,           0.0033125,           0.0033125
                   1,            0.051652,            0.023675,            0.041827,                   0,                   0,                   0,                   0,                   0,           0.0061435,                   0,            0.040166,           0.0066239,           0.0066239
                   2,            0.051984,            0.020115,            0.037528,                   0,                   0,                   0,                   0,                   0,           0.0036123,                   0,            0.010122,           0.0099133,           0.0099133
                   3,            0.050551,            0.017451,            0.032868,                   0,                   0,                   0,                   0,                   0,            0.006404,                   0,            0.009901,            0.009901,            0.009901
                   4,              0.0474,            0.015495,             0.02745,                   0,                   0,                   0,                   0,                   0,           0.0061011,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.043235,            0.014494,            0.024525,                   0,                   0,                   0,                   0,                   0,           0.0070317,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.039987,            0.013833,            0.021599,                   0,                   0,                   0,                   0,                   0,           0.0069106,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.040217,            0.013625,            0.018834,                   0,                   0,                   0,                   0,                   0,           0.0054125,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.035788,            0.011996,            0.016008,                   0,                   0,                   0,                   0,                   0,           0.0039085,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.033656,            0.012206,             0.01614,                   0,                   0,                   0,                   0,                   0,           0.0030043,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.032355,            0.011471,            0.014487,                   0,                   0,                   0,                   0,                   0,           0.0025731,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.032469,            0.010914,            0.012721,                   0,                   0,                   0,                   0,                   0,           0.0028588,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.029973,            0.011187,            0.011475,                   0,                   0,                   0,                   0,                   0,           0.0019174,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.030982,            0.010681,            0.011074,                   0,                   0,                   0,                   0,                   0,           0.0020158,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.028496,            0.010726,           0.0092376,                   0,                   0,                   0,                   0,                   0,             0.00218,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.030712,            0.010341,           0.0092308,                   0,                   0,                   0,                   0,                   0,           0.0029531,                   0,            0.009538,            0.009538,            0.009538
                  16,             0.03047,            0.010543,           0.0096561,                   0,                   0,                   0,                   0,                   0,           0.0044053,                   0,            0.009505,            0.009505,            0.009505
