INFO:root:Using Tensorboard, logs will be saved in workspace/nanodet_m/logs
INFO:root:Creating model...
INFO:root:Setting up data...
INFO:root:loading annotations into memory...
INFO:root:Found 3600 annotation files.
INFO:root:Load 3600 xml files and 3943 boxes
INFO:root:Done (t=0.20s)
INFO:root:loading annotations into memory...
INFO:root:Found 1397 annotation files.
INFO:root:Load 1397 xml files and 1549 boxes
INFO:root:Done (t=0.08s)
INFO:root:Training batch size: 20
INFO:root:Starting training...
INFO:root:Start warming up...
INFO:root:warmup|Iter(1/300)| lr:1.44e-02| loss_qfl:0.6663| loss_bbox:1.2380| loss_dfl:0.5200| 
INFO:root:warmup|Iter(11/300)| lr:1.86e-02| loss_qfl:0.7826| loss_bbox:0.9755| loss_dfl:0.5073| 
INFO:root:warmup|Iter(21/300)| lr:2.28e-02| loss_qfl:0.4681| loss_bbox:0.9058| loss_dfl:0.4396| 
INFO:root:warmup|Iter(31/300)| lr:2.70e-02| loss_qfl:0.4172| loss_bbox:0.8762| loss_dfl:0.4275| 
INFO:root:warmup|Iter(41/300)| lr:3.12e-02| loss_qfl:0.3750| loss_bbox:0.8815| loss_dfl:0.4199| 
INFO:root:warmup|Iter(51/300)| lr:3.54e-02| loss_qfl:0.3339| loss_bbox:0.8260| loss_dfl:0.3958| 
INFO:root:warmup|Iter(61/300)| lr:3.96e-02| loss_qfl:0.3125| loss_bbox:0.7818| loss_dfl:0.3808| 
INFO:root:warmup|Iter(71/300)| lr:4.38e-02| loss_qfl:0.3397| loss_bbox:0.7591| loss_dfl:0.3775| 
INFO:root:warmup|Iter(81/300)| lr:4.80e-02| loss_qfl:0.4224| loss_bbox:0.6994| loss_dfl:0.3619| 
INFO:root:warmup|Iter(91/300)| lr:5.22e-02| loss_qfl:0.4371| loss_bbox:0.6825| loss_dfl:0.3620| 
INFO:root:warmup|Iter(101/300)| lr:5.64e-02| loss_qfl:0.3585| loss_bbox:0.6351| loss_dfl:0.3452| 
INFO:root:warmup|Iter(111/300)| lr:6.06e-02| loss_qfl:0.4055| loss_bbox:0.7093| loss_dfl:0.3736| 
INFO:root:warmup|Iter(121/300)| lr:6.48e-02| loss_qfl:0.3820| loss_bbox:0.6614| loss_dfl:0.3445| 
INFO:root:warmup|Iter(131/300)| lr:6.90e-02| loss_qfl:0.3797| loss_bbox:0.6458| loss_dfl:0.3419| 
INFO:root:warmup|Iter(141/300)| lr:7.32e-02| loss_qfl:0.4350| loss_bbox:0.5519| loss_dfl:0.3188| 
INFO:root:warmup|Iter(151/300)| lr:7.74e-02| loss_qfl:0.4746| loss_bbox:0.5986| loss_dfl:0.3246| 
INFO:root:warmup|Iter(161/300)| lr:8.16e-02| loss_qfl:0.4181| loss_bbox:0.6284| loss_dfl:0.3381| 
INFO:root:warmup|Iter(171/300)| lr:8.58e-02| loss_qfl:0.4727| loss_bbox:0.6260| loss_dfl:0.3305| 
INFO:root:warmup|Iter(181/300)| lr:9.00e-02| loss_qfl:0.3987| loss_bbox:0.6320| loss_dfl:0.3325| 
INFO:root:warmup|Iter(191/300)| lr:9.42e-02| loss_qfl:0.3369| loss_bbox:0.6119| loss_dfl:0.3277| 
INFO:root:warmup|Iter(201/300)| lr:9.84e-02| loss_qfl:0.3418| loss_bbox:0.5728| loss_dfl:0.3184| 
INFO:root:warmup|Iter(211/300)| lr:1.03e-01| loss_qfl:0.3244| loss_bbox:0.5176| loss_dfl:0.2983| 
INFO:root:warmup|Iter(221/300)| lr:1.07e-01| loss_qfl:0.3750| loss_bbox:0.5476| loss_dfl:0.3038| 
INFO:root:warmup|Iter(231/300)| lr:1.11e-01| loss_qfl:0.3665| loss_bbox:0.5813| loss_dfl:0.3126| 
INFO:root:warmup|Iter(241/300)| lr:1.15e-01| loss_qfl:0.4549| loss_bbox:0.5965| loss_dfl:0.3206| 
INFO:root:warmup|Iter(251/300)| lr:1.19e-01| loss_qfl:0.3784| loss_bbox:0.5208| loss_dfl:0.2981| 
INFO:root:warmup|Iter(261/300)| lr:1.24e-01| loss_qfl:0.3688| loss_bbox:0.5512| loss_dfl:0.3045| 
INFO:root:warmup|Iter(271/300)| lr:1.28e-01| loss_qfl:0.4711| loss_bbox:0.5651| loss_dfl:0.3144| 
INFO:root:warmup|Iter(281/300)| lr:1.32e-01| loss_qfl:0.4697| loss_bbox:0.5665| loss_dfl:0.3110| 
INFO:root:warmup|Iter(291/300)| lr:1.36e-01| loss_qfl:0.4107| loss_bbox:0.5542| loss_dfl:0.3116| 
INFO:root:train|Epoch1/200|Iter1(0/180)| lr:1.40e-01| loss_qfl:0.3376| loss_bbox:0.5077| loss_dfl:0.2762| 
INFO:root:train|Epoch1/200|Iter11(10/180)| lr:1.40e-01| loss_qfl:0.3642| loss_bbox:0.5065| loss_dfl:0.2960| 
INFO:root:train|Epoch1/200|Iter21(20/180)| lr:1.40e-01| loss_qfl:0.3635| loss_bbox:0.5269| loss_dfl:0.2936| 
INFO:root:train|Epoch1/200|Iter31(30/180)| lr:1.40e-01| loss_qfl:0.3300| loss_bbox:0.5115| loss_dfl:0.2922| 
INFO:root:train|Epoch1/200|Iter41(40/180)| lr:1.40e-01| loss_qfl:0.3999| loss_bbox:0.5081| loss_dfl:0.2815| 
INFO:root:train|Epoch1/200|Iter51(50/180)| lr:1.40e-01| loss_qfl:0.3609| loss_bbox:0.4907| loss_dfl:0.2819| 
INFO:root:train|Epoch1/200|Iter61(60/180)| lr:1.40e-01| loss_qfl:0.3566| loss_bbox:0.4926| loss_dfl:0.2905| 
INFO:root:train|Epoch1/200|Iter71(70/180)| lr:1.40e-01| loss_qfl:0.3529| loss_bbox:0.5030| loss_dfl:0.2856| 
INFO:root:train|Epoch1/200|Iter81(80/180)| lr:1.40e-01| loss_qfl:0.3780| loss_bbox:0.5056| loss_dfl:0.2898| 
INFO:root:train|Epoch1/200|Iter91(90/180)| lr:1.40e-01| loss_qfl:0.3535| loss_bbox:0.4909| loss_dfl:0.2806| 
INFO:root:train|Epoch1/200|Iter101(100/180)| lr:1.40e-01| loss_qfl:0.3434| loss_bbox:0.4733| loss_dfl:0.2821| 
INFO:root:train|Epoch1/200|Iter111(110/180)| lr:1.40e-01| loss_qfl:0.4113| loss_bbox:0.5007| loss_dfl:0.2842| 
INFO:root:train|Epoch1/200|Iter121(120/180)| lr:1.40e-01| loss_qfl:0.3440| loss_bbox:0.4808| loss_dfl:0.2752| 
INFO:root:train|Epoch1/200|Iter131(130/180)| lr:1.40e-01| loss_qfl:0.3905| loss_bbox:0.4769| loss_dfl:0.2769| 
INFO:root:train|Epoch1/200|Iter141(140/180)| lr:1.40e-01| loss_qfl:0.3349| loss_bbox:0.4968| loss_dfl:0.2764| 
INFO:root:train|Epoch1/200|Iter151(150/180)| lr:1.40e-01| loss_qfl:0.3774| loss_bbox:0.5027| loss_dfl:0.2865| 
INFO:root:train|Epoch1/200|Iter161(160/180)| lr:1.40e-01| loss_qfl:0.3497| loss_bbox:0.4737| loss_dfl:0.2803| 
INFO:root:train|Epoch1/200|Iter171(170/180)| lr:1.40e-01| loss_qfl:0.3616| loss_bbox:0.4706| loss_dfl:0.2747| 
